30	H
30	H
31	R
31	R
35	H
35	H
35	H
36	R
36	H
36	R
38	H
38	H
39	R
39	R
45	H
45	H
46	R
46	R
65	H
65	H
66	R
66	R
67	H
67	H
68	H
69	R
70	H
71	H
72	R
73	H
74	H
75	R
76	H
77	H
78	R
79	H
80	H
81	R
82	H
83	H
84	R
85	H
86	H
87	R
88	H
89	H
90	R
91	H
121	H
121	H
122	R
122	R
124	H
124	H
125	R
125	R
127	H
127	H
128	R
128	R
130	H
130	H
131	R
131	R
133	H
133	H
133	H
134	R
134	R
134	R
164	R
165	R
177	Y
177	Y
178	R
178	R
179	H
179	H
180	Y
180	Y
181	R
181	R
182	H
182	H
183	Y
183	Y
184	R
184	R
185	H
185	H
186	Y
186	Y
187	R
187	R
188	H
188	H
189	Y
189	Y
190	R
190	R
191	H
191	H
192	Y
192	Y
193	R
193	R
194	H
194	H
195	Y
195	Y
196	R
196	R
197	H
197	H
198	Y
198	Y
199	R
199	R
200	H
200	H
201	Y
201	Y
202	R
202	R
203	H
203	H
204	Y
204	Y
205	R
205	R
206	H
206	H
207	R
207	R
208	H
208	H
209	Y
209	Y
210	R
210	R
211	H
211	H
221	Y
221	Y
221	Y
221	Y
226	Y
226	Y
226	G
226	M
226	Y
226	Y
226	R
